,Instructor,Course,Term,Enroll,Evals,Rcmnd_Class,Rcmnd_Instructor,Study_Hrs_Per_Wk,Grade_Expected,Grade,Link
0,"Kiselev, Yury",PHYS 1A - Mechanics A,S215,37,16,62.5,6.3,11.25,3.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=843237
1,"Gustafson, Scott Matthew",PHYS 1AL - Mechanics Laboratory 0,S215,33,10,88.9,88.9,5.61,3.44,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=843238
2,"Allen, Grant",PHYS 1B - Electricity and Magnetism A,S215,39,38,97.4,100.0,8.61,3.54,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=843240
3,"Gustafson, Scott Matthew",PHYS 1BL - Electricity & Magnetism Lab 0,S215,36,14,75.0,83.3,5.1,3.4,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=843241
4,"Markowitz, Alex Gary","PHYS 1C - Waves, Optics & Modern Physics A",S215,45,12,81.8,81.8,8.7,3.3,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=843243
5,"Gustafson, Scott Matthew","PHYS 1CL - Waves,Optics&Modrn Phys Lab 0",S215,45,9,83.3,83.3,4.17,3.5,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=843244
6,"Eldridge, Michael James",PHYS 2B - Phys-Electricity and Magnetism A,S215,99,29,88.5,76.9,8.5,3.63,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=843246
7,"Allen, Grant","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics A",S215,116,113,89.4,85.8,7.62,3.3,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=843248
8,"Paddock, Mark","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt A",S215,76,22,57.9,94.7,9.97,3.42,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=843251
9,"Michelsen, Eric Leonard",PHYS 2D - Phys-Relativity&Quantm Physics A,S215,82,21,95.0,75.0,10.7,3.1,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=843253
10,"Kishimoto, Chad T.",PHYS 1A - Mechanics A,S115,45,14,72.7,90.9,7.59,3.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=842831
11,"Schanning, Ian Lennon",PHYS 1AL - Mechanics Laboratory 0,S115,43,9,62.5,75.0,3.25,4.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=842832
12,"Allen, Grant",PHYS 1B - Electricity and Magnetism A,S115,46,44,75.0,90.9,8.59,3.37,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=842834
13,"Schanning, Ian Lennon",PHYS 1BL - Electricity & Magnetism Lab 0,S115,42,21,70.0,85.0,6.85,3.06,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=842835
14,"Skibba, Ramin Adrian","PHYS 1C - Waves, Optics & Modern Physics A",S115,47,7,71.4,85.7,7.64,2.86,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=842837
15,"Schanning, Ian Lennon","PHYS 1CL - Waves,Optics&Modrn Phys Lab 0",S115,43,5,60.0,80.0,6.9,3.2,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=842838
16,"Boucheron, Leandra Susan",PHYS 2A - Physics-Mechanics A,S115,92,85,86.9,91.7,8.72,3.12,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=842840
17,"Kadakia, Nirag Shailesh",PHYS 2B - Phys-Electricity and Magnetism A,S115,109,103,82.2,98.0,9.05,3.05,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=842842
18,"Paddock, Mark",PHYS 2BL - Phys Lab-Mechanics&Electrostat A,S115,33,11,70.0,70.0,7.1,3.3,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=842845
19,"Shotwell, Brian","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics A",S115,91,47,97.9,100.0,7.39,3.36,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=842847
20,"Barreiro Guerrero, Julio",PHYS 100C - Electromagnetism III A,SP15,30,23,76.2,66.7,8.2,2.95,3.27,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834727
21,"Kleinfeld, David",PHYS 120 - Circuits and Electronics A,SP15,66,48,87.2,91.5,9.73,3.46,3.37,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834730
22,"Burgasser, Adam Jonathan",PHYS 13 - Life in the Universe A,SP15,23,10,100.0,90.0,6.1,3.0,3.25,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834723
23,"Branson, James G",PHYS 130A - Quantum Physics I A,SP15,62,30,85.7,50.0,9.64,2.88,3.08,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834733
24,"Averitt, Richard Douglas",PHYS 133 - Condensed Matter/MATL Sci. Lab A,SP15,14,7,100.0,100.0,6.9,3.2,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834735
25,"Kuti, Julius",PHYS 142 - Comp Phys II:PDE & Matrix Modl A,SP15,8,2,100.0,50.0,6.5,3.5,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834737
26,"Dubin, Daniel Herschel",PHYS 151 - Elementary Plasma Physics A,SP15,19,8,87.5,100.0,6.5,3.14,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834739
27,"Sinha, Sunil K",PHYS 152B - Electronic Materials A,SP15,3,2,100.0,100.0,6.5,3.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834740
28,"Jenkins, Elizabeth",PHYS 154 - Elementary Particle Physics A,SP15,8,2,100.0,100.0,5.5,3.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834741
29,"Keating, Brian",PHYS 162 - Cosmology A,SP15,39,14,84.6,61.5,4.83,3.25,3.26,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834743
30,"Wright, Shelly Adams",PHYS 164 - Observational Astrophysics Lab A,SP15,15,9,100.0,100.0,11.25,3.25,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834745
31,"Palacci, Jeremie",PHYS 173 - Modern Physics Lab:Bio&Quantum A,SP15,6,3,100.0,100.0,11.17,4.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834749
32,"Jun, Suckjoon",PHYS 177 - Physics of the Cell A,SP15,1,1,100.0,100.0,8.5,4.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834750
33,"Anderson, Michael G.",PHYS 1A - Mechanics A,SP15,269,100,71.6,37.9,5.99,3.03,2.97,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834623
34,"Groisman, Alexander",PHYS 1AL - Mechanics Laboratory 0,SP15,256,92,72.1,62.8,3.49,3.33,3.31,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834624
35,"Markowitz, Alex Gary",PHYS 1B - Electricity and Magnetism A,SP15,308,104,71.3,49.5,5.8,3.01,2.79,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834635
36,"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab 0,SP15,294,83,75.0,66.3,3.9,3.51,3.17,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834636
37,"Anderson, Michael G.","PHYS 1C - Waves, Optics & Modern Physics A",SP15,140,42,67.5,60.0,5.3,3.16,3.01,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834647
38,"Skibba, Ramin Adrian","PHYS 1C - Waves, Optics & Modern Physics B",SP15,182,67,65.6,46.9,5.38,3.06,2.91,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834648
39,"Paddock, Mark","PHYS 1C - Waves, Optics & Modern Physics C",SP15,412,342,85.1,96.2,5.5,3.52,3.48,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834649
40,"Groisman, Alexander","PHYS 1CL - Waves,Optics&Modrn Phys Lab 0",SP15,734,280,71.3,68.2,3.53,3.46,3.05,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834650
41,"Dudko, Olga",PHYS 2A - Physics-Mechanics A,SP15,278,103,85.9,94.9,7.13,3.01,2.64,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834673
42,"Dudko, Olga",PHYS 2A - Physics-Mechanics B,SP15,165,74,91.8,98.6,7.18,2.84,2.64,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834675
43,"Schuller, Ivan K",PHYS 2B - Phys-Electricity and Magnetism A,SP15,224,93,80.0,42.2,5.91,3.19,2.65,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834680
44,"Shpyrko, Oleg",PHYS 2B - Phys-Electricity and Magnetism B,SP15,409,153,91.9,99.3,5.65,3.36,2.88,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834682
45,"Shpyrko, Oleg",PHYS 2B - Phys-Electricity and Magnetism C,SP15,384,150,91.7,98.6,5.54,3.32,2.88,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834684
46,"Yagil, Avi",PHYS 2BL - Phys Lab-Mechanics&Electrostat A,SP15,164,61,80.0,80.0,5.22,3.4,3.13,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834688
47,"Michelsen, Eric Leonard","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics A",SP15,353,141,83.2,75.9,6.54,3.23,2.95,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834696
48,"Keating, Brian","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt A",SP15,260,88,45.1,65.9,7.13,3.28,2.95,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834699
49,"Collins, Eva-Maria Schoetz",PHYS 2D - Phys-Relativity&Quantm Physics A,SP15,134,111,96.4,95.5,6.33,3.23,2.92,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834711
50,"Butov, Leonid",PHYS 2DL - Physics Lab-Modern Physics A,SP15,50,23,90.9,81.8,5.07,3.71,3.19,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834714
51,"Paar, Hans Peter","PHYS 4B - Phys Majrs-Mech,Fluid,Wav,Heat A",SP15,80,35,82.9,54.3,6.97,3.26,2.59,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834717
52,"Hirsch, Jorge Eduardo",PHYS 4E - Physics Majors-Quantum Physics A,SP15,30,14,85.7,57.1,6.64,2.77,3.04,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834719
53,"Grinstein, Benjamin",PHYS 87 - Freshman Seminar A,SP15,12,9,88.9,88.9,1.39,3.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834142
54,"Tytler, David Robert",PHYS 9 - The Solar System A,SP15,37,8,62.5,75.0,3.25,3.38,3.12,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=834721
55,"Tytler, David Robert",PHYS 10 - Concepts In Physics A,WI15,185,61,68.3,70.0,4.81,3.2,3.18,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=827081
56,"Surko, Clifford M",PHYS 100B - Electromagnetism II A,WI15,60,18,94.4,94.4,6.83,3.22,2.79,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=827085
57,"Dubin, Daniel Herschel",PHYS 105B - Mathematical&Computatnl Phy II A,WI15,20,8,100.0,100.0,14.25,3.13,3.11,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=827087
58,"Wu, Congjun",PHYS 110B - Mechanics II A,WI15,40,11,100.0,100.0,9.77,3.6,3.44,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=827089
59,"Murphy, Thomas",PHYS 124 - Laboratory Projects A,WI15,21,7,100.0,100.0,10.17,3.83,3.22,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=827092
60,"McGreevy, John A.",PHYS 130C - Quantum Physics III A,WI15,24,10,70.0,100.0,10.5,3.0,3.01,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=827094
61,"Fogler, Michael M.",PHYS 140B - Statistical & Thermal Phys II A,WI15,4,2,100.0,100.0,2.5,4.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=827096
62,"Manohar, Aneesh Vasant",PHYS 140B - Statistical & Thermal Phys II B,WI15,1,1,100.0,100.0,0.0,,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=831626
63,"Kuti, Julius",PHYS 141 - Comp Phys I:Prob Models & Simu A,WI15,8,3,66.7,66.7,8.5,4.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=826243
64,"Maple, M. Brian",PHYS 152A - Condensed Matter Physics A,WI15,11,4,50.0,50.0,6.5,3.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=827098
65,"Konopacky, Quinn Morgan",PHYS 160 - Stellar Astrophysics A,WI15,23,20,95.0,95.0,5.66,3.39,2.87,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=827100
66,"Fuller, George Michael",PHYS 161 - Black Holes A,WI15,26,7,85.7,100.0,4.5,3.71,3.78,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=831476
67,"Hwa, Terence T.",PHYS 176 - Quantitative Molecular Biology A,WI15,3,1,100.0,100.0,20.5,2.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=826247
68,"Sharpee, Tatyana",PHYS 178 - Biophysics/Neurons & Networks A,WI15,12,5,80.0,80.0,8.5,3.25,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=826249
69,"Yagil, Avi",PHYS 1A - Mechanics A,WI15,280,109,77.6,72.9,6.48,3.08,2.58,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=826985
70,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory 0,WI15,271,93,82.6,78.3,4.07,3.56,3.45,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=831497
71,"Groisman, Alexander",PHYS 1B - Electricity and Magnetism A,WI15,142,43,73.8,71.4,5.21,3.17,2.8,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=826999
72,"Wuerthwein, Frank",PHYS 1B - Electricity and Magnetism B,WI15,338,126,78.3,86.1,5.92,3.19,3.12,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=827000
73,"Wuerthwein, Frank",PHYS 1B - Electricity and Magnetism C,WI15,341,140,74.4,85.0,5.16,3.2,3.12,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=827001
74,"Anderson, Michael G.",PHYS 1BL - Electricity & Magnetism Lab 0,WI15,805,271,73.2,73.6,3.74,3.46,3.43,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=831508
75,"Burgasser, Adam Jonathan","PHYS 1C - Waves, Optics & Modern Physics A",WI15,187,73,80.6,84.7,5.83,3.38,3.28,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=827030
76,"Anderson, Michael G.","PHYS 1CL - Waves,Optics&Modrn Phys Lab 0",WI15,174,52,71.4,71.4,3.93,3.71,3.56,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=831540
77,"Sharma, Vivek A.",PHYS 2A - Physics-Mechanics A,WI15,338,199,81.4,43.8,7.12,3.11,2.9,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=827040
78,"Sharma, Vivek A.",PHYS 2A - Physics-Mechanics B,WI15,323,185,84.0,43.4,7.23,3.06,2.9,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=827043
79,"Sharma, Vivek A.",PHYS 2A - Physics-Mechanics C,WI15,303,157,81.7,50.3,7.23,3.24,2.9,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=827045
80,"Shotwell, Brian",PHYS 2B - Phys-Electricity and Magnetism A,WI15,311,115,81.5,87.0,7.98,3.06,2.67,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=827047
81,"Butov, Leonid",PHYS 2BL - Phys Lab-Mechanics&Electrostat A,WI15,108,36,82.9,88.6,3.36,3.71,3.65,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=831548
82,"Michelsen, Eric Leonard","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics A",WI15,328,127,76.5,48.7,5.86,3.03,2.79,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=827058
83,"Maple, M. Brian","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt A",WI15,293,99,43.0,66.7,6.83,3.36,2.96,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=831557
84,"Branson, James G",PHYS 2D - Phys-Relativity&Quantm Physics A,WI15,189,53,78.4,80.4,5.75,3.43,3.42,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=827073
85,"Sinha, Sunil K",PHYS 4A - Physics/Physics Majrs-Mechancs A,WI15,79,41,87.8,73.2,5.99,3.46,3.51,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=827075
86,"Intriligator, Kenneth Arthur","PHYS 4D - Phys Majrs-EM Wav,Opt,Spec Rel A",WI15,36,17,100.0,94.1,6.85,3.25,3.41,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=827077
87,"Keres, Dusan",PHYS 7 - Galaxies and Cosmology A,WI15,41,23,100.0,100.0,4.12,3.58,3.39,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=827079
88,"Fuller, George Michael",PHYS 87 - Freshman Seminar A,WI15,19,13,100.0,100.0,0.5,,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=823962
89,"Grinstein, Benjamin",PHYS 87 - Freshman Seminar B,WI15,16,13,100.0,100.0,1.17,4.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=823963
90,"Murphy, Thomas",PHYS 87 - Freshman Seminar C,WI15,18,9,100.0,100.0,1.39,4.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=827244
91,"Surko, Clifford M",PHYS 100A - Electromagnetism I A,FA14,82,16,100.0,76.9,9.0,3.17,2.57,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811486
92,"Dubin, Daniel Herschel",PHYS 105A - Mathematical&Computatnl Phy I A,FA14,72,16,71.4,78.6,14.96,2.75,2.76,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811488
93,"Tytler, David Robert",PHYS 11 - Survey of Physics A,FA14,141,43,62.8,55.8,4.6,3.41,3.3,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811482
94,"Branson, James G",PHYS 110A - Mechanics I A,FA14,81,15,100.0,25.0,10.33,3.0,2.94,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811492
95,"Smith, Douglas E",PHYS 122 - Experimental Techniques A,FA14,12,3,66.7,66.7,7.83,3.33,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811718
96,"Keating, Brian",PHYS 130B - Quantum Physics II A,FA14,38,11,90.9,63.6,6.68,3.3,2.98,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811493
97,"Fogler, Michael M.",PHYS 140A - Statistical & Thermal Phys I A,FA14,42,12,91.7,83.3,7.5,3.09,2.59,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811495
98,"Manohar, Aneesh Vasant",PHYS 140A - Statistical & Thermal Phys I B,FA14,1,1,100.0,100.0,0.0,,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=831625
99,"Keres, Dusan",PHYS 163 - Galaxies and Quasars A,FA14,22,6,100.0,100.0,4.83,3.67,2.72,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811497
100,"Dudko, Olga",PHYS 175 - Fundamentls/Biological Physics A,FA14,12,7,85.7,100.0,7.93,3.33,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811498
101,"Murphy, Thomas",PHYS 191 - Undergraduate Seminar/Physics A,FA14,28,10,100.0,100.0,0.5,,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811499
102,"Smith, Douglas E",PHYS 1A - Mechanics A,FA14,178,73,78.3,72.5,4.88,3.24,3.1,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811634
103,"Smith, Douglas E",PHYS 1A - Mechanics B,FA14,344,114,77.1,66.1,5.42,3.17,3.1,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811636
104,"Yagil, Avi",PHYS 1A - Mechanics C,FA14,329,130,78.7,74.0,5.78,3.14,2.62,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811637
105,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory 0,FA14,840,321,74.5,78.3,4.2,3.44,3.4,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811638
106,"Groisman, Alexander",PHYS 1B - Electricity and Magnetism A,FA14,180,54,68.6,43.1,5.88,3.02,2.92,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811668
107,"Anderson, Michael G.",PHYS 1BL - Electricity & Magnetism Lab 0,FA14,173,47,76.2,81.0,4.06,3.23,3.35,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811669
108,"Anderson, Michael G.","PHYS 1C - Waves, Optics & Modern Physics A",FA14,174,46,79.5,61.4,5.31,3.21,3.01,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811676
109,"Anderson, Michael G.","PHYS 1CL - Waves,Optics&Modrn Phys Lab 0",FA14,176,37,87.5,81.3,3.73,3.71,3.5,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811677
110,"Shpyrko, Oleg",PHYS 2A - Physics-Mechanics A,FA14,344,145,90.2,94.7,6.12,3.09,2.79,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811468
111,"Schuller, Ivan K",PHYS 2B - Phys-Electricity and Magnetism A,FA14,332,120,67.6,40.5,6.94,2.88,2.99,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811470
112,"Butov, Leonid",PHYS 2BL - Phys Lab-Mechanics&Electrostat A,FA14,115,42,73.0,70.3,4.34,3.51,3.52,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811684
113,"Intriligator, Kenneth Arthur","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics A",FA14,330,109,78.2,69.3,5.9,3.4,3.05,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811472
114,"Intriligator, Kenneth Arthur","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics B",FA14,347,118,83.3,54.6,6.08,3.39,3.05,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811474
115,"Schuller, Ivan K","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt A",FA14,224,94,28.9,37.8,7.7,3.2,2.99,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811691
116,"Murphy, Thomas",PHYS 2D - Phys-Relativity&Quantm Physics A,FA14,1,1,100.0,100.0,0.0,,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=830197
117,"Paar, Hans Peter",PHYS 4C - Phys Majrs-Elect & Magnetism A,FA14,41,21,85.7,85.7,7.07,3.2,2.95,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811476
118,"Coil, Alison",PHYS 5 - Stars and Black Holes A,FA14,54,21,90.0,95.0,3.83,3.36,3.3,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=811478
119,"Fuller, George Michael",PHYS 87 - Freshman Seminar A,FA14,21,18,88.2,94.1,0.75,4.0,,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=819651
120,"Affolter, Matthew J",PHYS 1A - Mechanics A,S214,51,16,83.3,100.0,10.33,3.09,2.77,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=813213
121,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory 0,S214,55,10,100.0,88.9,5.5,3.5,3.35,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=813214
122,"Agarwal, Prarit",PHYS 1B - Electricity and Magnetism A,S214,57,10,80.0,30.0,9.7,3.0,2.76,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=813217
123,"Anderson, Michael G.",PHYS 1BL - Electricity & Magnetism Lab 0,S214,49,7,100.0,100.0,8.5,3.5,3.3,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=813218
124,"Schanning, Ian Lennon","PHYS 1C - Waves, Optics & Modern Physics A",S214,82,16,71.4,71.4,9.79,3.5,2.94,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=813221
125,"Anderson, Michael G.","PHYS 1CL - Waves,Optics&Modrn Phys Lab 0",S214,76,10,88.9,55.6,5.25,3.89,3.45,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=813222
126,"Shotwell, Brian",PHYS 2B - Phys-Electricity and Magnetism A,S214,82,16,68.8,81.3,11.25,3.0,2.86,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=813225
127,"Stanley, Jacob T","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics A",S214,136,33,78.1,87.5,8.25,2.69,2.93,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=813227
128,"Briggs, Andrew T","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt A",S214,79,17,40.0,80.0,11.7,3.27,3.11,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=813230
129,"Salamon, Joe Peter",PHYS 2D - Phys-Relativity&Quantm Physics A,S214,61,43,83.7,97.7,10.13,3.26,3.03,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=813232
130,"Stanley, Jacob T",PHYS 1A - Mechanics A,S114,70,36,85.3,85.3,8.5,3.22,2.86,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=812678
131,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory 0,S114,70,26,73.9,78.3,5.41,3.59,3.32,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=812679
132,"Lee, Christopher Jaesung",PHYS 1B - Electricity and Magnetism A,S114,61,16,80.0,80.0,10.1,3.07,3.14,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=812682
133,"Anderson, Michael G.",PHYS 1BL - Electricity & Magnetism Lab 0,S114,48,10,88.9,88.9,6.06,3.22,3.21,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=812683
134,"Schanning, Ian Lennon","PHYS 1C - Waves, Optics & Modern Physics A",S114,50,8,87.5,87.5,9.75,3.38,3.0,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=812686
135,"Anderson, Michael G.","PHYS 1CL - Waves,Optics&Modrn Phys Lab 0",S114,47,6,100.0,100.0,10.1,4.0,3.54,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=812687
136,"Boucheron, Leandra Susan",PHYS 2A - Physics-Mechanics A,S114,69,44,92.9,97.6,8.64,2.98,2.86,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=812690
137,"Shotwell, Brian",PHYS 2B - Phys-Electricity and Magnetism A,S114,110,19,73.7,100.0,10.92,2.95,2.54,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=812692
138,"Briggs, Andrew T",PHYS 2BL - Phys Lab-Mechanics&Electrostat A,S114,23,7,85.7,100.0,7.36,3.57,2.98,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=812695
139,"Stone, David Curtis","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics A",S114,107,52,78.4,86.3,9.98,2.9,2.7,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=812697
