,Instructor,Course,Term,Enroll,Evals,Rcmnd_Class,Rcmnd_Instructor,Study_Hrs_Per_Wk,Grade_Expected,Grade,Link
811,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory           B,SU09,13,4,75.0,100.0,6.0,3.33,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=663958
812,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory           C,SU09,19,7,85.7,100.0,2.21,3.57,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=663959
813,"Anderson, Michael G.",PHYS 1AL - Mechanics Laboratory           C,SU09,19,5,80.0,100.0,4.0,4.0,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=660551
814,"Anderson, Michael Wesley",PHYS 1B  - Electricity and Magnetism      A,SU09,74,36,80.6,91.7,6.06,3.4,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=657086
815,"Meyertholen, Andrew D.",PHYS 1B  - Electricity and Magnetism      A,SU09,59,29,86.2,100.0,8.5,3.52,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=656457
816,"Anderson, Michael G.",PHYS 1BL - Electricity & Magnetism Lab    A,SU09,21,7,57.1,100.0,7.93,3.43,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=656502
817,"Anderson, Michael G.",PHYS 1BL - Electricity & Magnetism Lab    A,SU09,22,8,87.5,87.5,4.75,3.75,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=657087
818,"Anderson, Michael G.",PHYS 1BL - Electricity & Magnetism Lab    B,SU09,20,9,44.4,77.8,4.72,3.33,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=663248
819,"Anderson, Michael G.",PHYS 1BL - Electricity & Magnetism Lab    B,SU09,20,4,25.0,75.0,4.0,4.0,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=663254
820,"Anderson, Michael G.",PHYS 1BL - Electricity & Magnetism Lab    C,SU09,20,8,75.0,100.0,7.25,3.63,,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=663255
